,Alianza_Verde,Cambio_Radical,Centro_Democrático,Coalición_Lista_de_la_Decencia_(ASI-UP-MAIS),MIRA,Opción_Ciudadana,Partido_Conservador,Partido_de_la_U,Partido_Liberal,Polo_Democrático_Alternativo
Amazonas,0.0028690662493479394,0.03729786124152321,0.0,0.0,0.0,0.0,0.007303077725612937,0.15779864371413668,0.7947313510693792,0.0
Antioquia,0.0,0.011169891395646983,0.7399655177495174,0.0,0.0,0.0,0.10741221025331192,0.05256774878059563,0.08652981830506476,0.002354813515863309
Arauca,0.0,0.0,0.8235452586206896,0.0,0.0,0.0,0.0,0.14651323891625614,0.029941502463054187,0.0
Archipiélago_de_San_Andrés,0.0,0.9227244324099146,0.0772755675900854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlántico,0.0,0.8703001129901984,0.0,0.0,0.0,0.0,0.05875184106657848,0.0709480459432232,0.0,0.0
Bogotá_D.C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolívar,0.0,0.06341239659283043,0.007893880642391205,0.0,0.0,0.01159013691615952,0.3443972115400001,0.20409948423090668,0.3686068900777121,0.0
Boyacá,0.5587327841216324,0.13946054263812463,0.1968494544991889,0.0,0.0,0.010098921721428799,0.018949394064696715,0.035871051878240405,0.03521104360825726,0.00482680746843093
Caldas,0.0,0.0,0.1260486783107688,0.0,0.0,0.0,0.02644469415140242,0.2726945441454022,0.5748120833924266,0.0
Caquetá,0.0,0.0,0.49495599914144667,0.0,0.02979180081562567,0.0,0.08542605709379696,0.01339343206696716,0.37643271088216357,0.0
Casanare,0.0,0.0,0.9940564357363832,0.0,0.0,0.0,0.0,0.0,0.005943564263616762,0.0
Cauca,0.0,0.5540791831490686,0.0,0.0,0.0,0.0,0.0,0.030688260021863836,0.4152325568290676,0.0
Cesar,0.0,0.3352694136980584,0.0,0.0,0.0,0.0,0.0,0.6647305863019416,0.0,0.0
Chocó,0.0,0.1785736000486411,0.0,0.0,0.0,0.0,0.06730710767921201,0.30263877910865206,0.45148051316349486,0.0
Consulados,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cundinamarca,0.01237480316804327,0.04791870327984968,0.5556427112175191,0.0,0.0,0.0,0.1328564487710076,0.24132622299231404,0.00988111057126634,0.0
Córdoba,0.0,0.09268369143215414,0.04306831609153826,0.0,0.0,0.012358629337577467,0.4825492134686955,0.28466243860875995,0.08467771106127468,0.0
Guainía,0.0,0.0,0.9027113237639554,0.0,0.0,0.0,0.0,0.004784688995215311,0.09250398724082935,0.0
Guaviare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9501671224551808,0.0498328775448192,0.0
Huila,0.0,0.03276124996769107,0.5712864121584946,0.0,0.0,0.0,0.2529271886065807,0.0,0.1430251492672336,0.0
La_Guajira,0.0,0.054702595826904926,0.0,0.0,0.0,0.1521547010979464,0.7346504695855365,0.0354847890235317,0.023007444466080496,0.0
Magdalena,0.0,0.7973341152610295,0.0,0.0,0.0,0.0,0.0,0.20266588473897054,0.0,0.0
Meta,0.0,0.08058359839579587,0.7196929885216429,0.0,0.0,0.0,0.019070667957405616,0.11648458027935278,0.06416816484580279,0.0
Nariño,0.12870708847538687,0.0,0.0,0.0,0.0,0.0,0.6438377813814143,0.030488140065415167,0.1969669900777836,0.0
Norte_de_Santander,0.0,0.3172923338395323,0.07520595478830129,0.0,0.0,0.0,0.5348293742279154,0.020316151419061932,0.037075796083121546,0.015280389642067495
Putumayo,0.0,0.0,0.0,0.0,0.0,0.0,0.2705132046398151,0.0,0.7294867953601849,0.0
Quindío,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Risaralda,0.0,0.0,0.7327956825319389,0.07432082202640486,0.0,0.0,0.03957679056011221,0.019712168795926455,0.13359453608561758,0.0
Santander,0.0,0.09998020511777955,0.12452050910297084,0.0,0.0,0.007998202410695656,0.019612983302749347,0.0,0.44386010903235124,0.30402799103345335
Sucre,0.0,0.9853332015143673,0.0,0.0,0.0,0.0,0.0,0.014666798485632702,0.0,0.0
Tolima,0.0,0.10389272127421112,0.3466431987876683,0.0,0.0,0.0,0.4428009913337227,0.029550584855325263,0.0771125037490726,0.0
Valle_del_Cauca,0.0,0.038515339634076426,0.36569425562234853,0.0,0.0,0.0,0.09880591636500631,0.37711749193297406,0.05655927011842558,0.06330772632716909
Vaupés,0.0,0.18292234081707767,0.0,0.0,0.0,0.0,0.0,0.7412587412587412,0.07581891792418108,0.0
Vichada,0.0,0.0,0.719140989729225,0.0,0.0,0.0,0.0,0.280859010270775,0.0,0.0
